"Enabled","Habilitado"
"Title","Título"
"Subtitle","Sub-título"
"Your DPD Depot #","Seu DPD Depot #"
"Your DPD CLASSIC contract #","Seu Contrato DPD Classic"
"Shipping rates configuration","Configuração das taxas de envio"
"Display when unavailable","Mostrar quando disponível"
"Yes","Sim"
"No","Não"
"Displayed Error Message","Mostrar mensagens de rro"
"Sort Order","Ordem de classificação"
